"Product Code","Product Title","Wholesale Price","MSRP","Currency","Unit Size","Category"
"VN-VIT-001","Daily Multivitamin Tablets 60ct","7.20","19.99","EUR","60 tablets","Supplements"
"VN-VIT-002","Vitamin D3 1000IU 90ct","5.80","15.99","EUR","90 tablets","Supplements"
"VN-VIT-003","Omega-3 Fish Oil 60ct","8.40","22.99","EUR","60 capsules","Supplements"
"VN-VIT-004","Collagen Powder 300g","14.50","38.99","EUR","300g","Supplements"
"VN-VIT-005","Hair Skin Nails Complex 60ct","9.00","24.99","EUR","60 tablets","Supplements"
"VN-SH-001","Moisturising Body Wash 300ml","4.10","11.99","EUR","300ml","Body Care"
"VN-SH-002","Sensitive Skin Body Wash 300ml","4.40","12.99","EUR","300ml","Body Care"
"VN-BA-001","Relaxing Bath Salts 500g","5.60","14.99","EUR","500g","Body Care"
"VN-SG-001","Shaving Gel Sensitive 200ml","3.80","10.99","EUR","200ml","Grooming"
"VN-SG-002","Post-Shave Balm 100ml","5.20","14.99","EUR","100ml","Grooming"
"VN-DEO-001","24h Roll-On Deodorant 50ml","2.90","7.99","EUR","50ml","Deodorants"
"VN-DEO-002","48h Spray Deodorant 150ml","3.40","9.49","EUR","150ml","Deodorants"
"VN-LP-001","SPF15 Lip Protector","1.80","4.99","EUR","4.8g","Lip Care"
"VN-BS-001","Natural Bristle Body Brush","6.50","17.99","EUR","1 pcs","Accessories"
"VN-GS-001","Wellness Gift Set","22.00","59.99","EUR","set","Gift Sets"
